CaneNo,12-Sep,16-Sep,19-Sep,23-Sep,26-Sep,30-Sep,03-Oct,07-Oct,10-Oct,14-Oct,17-Oct,21-Oct,24-Oct,29-Oct,31-Oct,04-Nov,07-Nov,11-Nov,18-Nov,25-Nov
1357,0,0,0,0,0,1,2,6,6,6,7,7,7,7,7,7,7,7,7,7
1358,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,7,7
1359,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,4
1360,0,0,0,0,1,1,1,3,4,4,4,4,4,4,4,4,4,4,7,7
1361,0,0,0,0,0,1,1,2,2,3,3,3,4,5,5,6,6,6,6,6
1362,0,0,0,0,0,1,1,2,2,3,4,4,5,5,5,5,5,5,6,6
1363,0,0,0,1,1,1,1,3,3,6,6,6,6,6,6,6,6,6,6,8
1364,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,5
1365,0,0,0,0,1,1,1,1,2,4,6,6,6,6,6,6,6,6,6,10
1366,0,0,0,0,4,6,8,11,12,12,12,12,12,12,12,12,12,12,12,12
1367,0,0,0,0,0,1,1,1,1,1,1,1,1,6,6,7,9,11,11,11
1368,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,4,4,4,4
1369,0,0,0,1,1,1,1,1,2,2,2,2,3,6,6,7,9,9,9,11
1370,0,0,0,1,1,1,1,3,3,3,3,3,3,4,4,5,6,6,6,6
1371,0,0,0,0,0,1,1,2,2,2,2,2,3,5,5,6,6,6,6,6
1372,0,0,0,0,0,0,0,2,3,5,7,7,7,7,7,7,7,7,7,7
1373,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,6,6,6,6
1374,0,0,0,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4
1375,0,0,0,0,2,3,4,5,6,7,7,7,7,7,7,7,7,7,7,9
1376,0,0,0,0,0,0,1,1,1,5,6,7,9,9,9,9,9,9,9,11
